20221203	17:45:30	80b274bf-bc6a-4f56-a6f9-910dce992f00	GET	undefined	/css/style.css
20221203	17:48:16	8de32ede-b560-429c-ad2f-baa12d84cb28	POST	undefined	/register
20221203	17:48:55	25738dcf-dcc6-41c2-baa4-4f9697039fba	POST	undefined	/register
20221203	23:49:31	146e36bd-a751-42dd-824b-0edee01bdd5c	GET	undefined	/
20221203	23:49:31	543ea42f-5440-4d0f-8763-7cd1230dbc66	GET	undefined	/css/style.css
20221205	15:05:51	55608f3e-42de-460c-b94b-3b623618a2ec	POST	undefined	/auth
20221205	15:06:04	a4473835-f4b2-430c-8c7c-bdb383106607	POST	undefined	/auth
20221205	15:06:26	b2ae185d-f67a-421d-8617-09aace081409	POST	undefined	/register
20221205	16:08:01	5aca5cb6-0047-4ce5-9b21-54dcbc7da48d	POST	undefined	/auth
20221205	16:11:16	c2185e62-1b3f-42d6-8b92-7921e62120cb	POST	undefined	/auth
20221205	16:11:19	966dba3b-ed62-4320-801e-47d9a5d15b58	POST	undefined	/auth
20221205	16:11:21	3af5eb62-2889-4cd4-a107-bba5c17cc47c	POST	undefined	/auth
20221205	16:11:53	3b018c98-ce69-4f1b-a3d7-be0d612c377f	GET	undefined	/employees
20221205	16:12:04	8974aff6-bd96-4c11-a7ff-7ae2b99ea8e3	GET	undefined	/employees
20221205	16:12:05	f8ed9d50-30f7-42b7-b79a-0b588489497a	GET	undefined	/employees
20221205	16:12:20	286426be-d796-4d3f-a32b-f09e64ac9c5e	POST	undefined	/employees
20221205	16:34:30	b5f13363-f219-49c5-a083-81777d531a70	POST	undefined	/auth
20221205	16:35:33	8f3f450a-e8d8-4e62-962a-3496fb119c49	GET	undefined	/refresh
20221205	16:35:52	953c34ed-1e90-4914-a25b-308699d35488	GET	undefined	/refresh
20221205	16:35:55	1c1c1c18-1b83-43f5-9ef4-d7f050cfa85a	GET	undefined	/refresh
20221205	16:52:13	9ae024b4-7cee-4cbe-9e96-e3299ef790bb	POST	undefined	/auth
20221205	16:52:39	e92e4d5f-a31e-4cd4-a791-de781439a779	GET	undefined	/logout
20221205	16:54:12	2b1021e2-f85c-4719-b910-b50d1afa1e28	GET	undefined	/logout
20221205	16:54:31	9098cd6e-dc1a-42d7-9a51-a68ac378adbc	GET	undefined	/refresh
20221205	16:55:30	0aed5673-d126-46cd-a9b6-def7ca40654a	GET	undefined	/refresh
20221205	17:35:35	bd5f4e89-3100-45ca-8a00-fe974fb9c34f	GET	undefined	/refresh
